Model,Retriever,Exact_PRECISION,Exact_RECALL,Exact_F1,Year_PRECISION,Year_RECALL,Year_F1,Decade_PRECISION,Decade_RECALL,Decade_F1,Century_PRECISION,Century_RECALL,Century_F1
Gemma,BM25,0.0666666666666666,0.0588235294117647,0.0625,0.1333333333333333,0.1176470588235294,0.125,0.1333333333333333,0.1176470588235294,0.125,0.2,0.1764705882352941,0.1875
Gemma,GTR-L,0.0384615384615384,0.0588235294117647,0.0465116279069767,0.0769230769230769,0.1176470588235294,0.0930232558139535,0.0769230769230769,0.1176470588235294,0.0930232558139535,0.1923076923076923,0.2941176470588235,0.2325581395348837
Gemma,Contr,0.0952380952380952,0.1176470588235294,0.1052631578947368,0.0952380952380952,0.1176470588235294,0.1052631578947368,0.0952380952380952,0.1176470588235294,0.1052631578947368,0.238095238095238,0.2941176470588235,0.2631578947368421
Gemma,BGE,0.0666666666666666,0.0588235294117647,0.0625,0.0666666666666666,0.0588235294117647,0.0625,0.0666666666666666,0.0588235294117647,0.0625,0.2,0.1764705882352941,0.1875
Gemma,-,0.0769230769230769,0.0588235294117647,0.0666666666666666,0.0769230769230769,0.0588235294117647,0.0666666666666666,0.0769230769230769,0.0588235294117647,0.0666666666666666,0.1538461538461538,0.1176470588235294,0.1333333333333333
Gemma,GTR-X,0.0666666666666666,0.0588235294117647,0.0625,0.1333333333333333,0.1176470588235294,0.125,0.2,0.1764705882352941,0.1875,0.2,0.1764705882352941,0.1875
Gemma,Inst,0.1875,0.1764705882352941,0.1818181818181818,0.1875,0.1764705882352941,0.1818181818181818,0.1875,0.1764705882352941,0.1818181818181818,0.3125,0.2941176470588235,0.303030303030303
LLAMA,Boyer-M,0.1111111111111111,0.1176470588235294,0.1142857142857142,0.1666666666666666,0.1764705882352941,0.1714285714285714,0.2777777777777778,0.2941176470588235,0.2857142857142857,0.2777777777777778,0.2941176470588235,0.2857142857142857
LLAMA,BM25,0.0099009900990099,0.0588235294117647,0.0169491525423728,0.0198019801980198,0.1176470588235294,0.0338983050847457,0.1089108910891089,0.6470588235294118,0.1864406779661017,0.1386138613861386,0.8235294117647058,0.2372881355932203
LLAMA,GTR-L,0.0196078431372549,0.1176470588235294,0.0336134453781512,0.0392156862745098,0.2352941176470588,0.0672268907563025,0.088235294117647,0.5294117647058824,0.1512605042016806,0.1470588235294117,0.8823529411764706,0.2521008403361344
LLAMA,Contr,0.0204081632653061,0.1176470588235294,0.0347826086956521,0.0306122448979591,0.1764705882352941,0.0521739130434782,0.0918367346938775,0.5294117647058824,0.1565217391304348,0.1224489795918367,0.7058823529411765,0.208695652173913
LLAMA,BGE,0.0196078431372549,0.1176470588235294,0.0336134453781512,0.0294117647058823,0.1764705882352941,0.0504201680672268,0.0980392156862745,0.5882352941176471,0.1680672268907563,0.1372549019607843,0.8235294117647058,0.2352941176470588
LLAMA,-,0.02,0.1176470588235294,0.0341880341880341,0.03,0.1764705882352941,0.0512820512820512,0.07,0.4117647058823529,0.1196581196581196,0.11,0.6470588235294118,0.188034188034188
