llm,retriever,precision_mean,precision_median,precision_mode,precision_std,recall_mean,recall_median,recall_mode,recall_std,f1_mean,f1_median,f1_mode,f1_std
GPT-4o,GTR-X,0.4461306026523418,0.4285714285714285,0.0,0.3307075147767712,0.4263170143604927,0.4285714285714285,0.0,0.33407764894106584,0.38331293408019745,0.4,0.0,0.2544050508421653
Qwen,BGE,0.4017211310689572,0.4285714285714285,0.0,0.3466500827843911,0.36559471668167326,0.3333333333333333,0.0,0.3387013215300193,0.33589822323164636,0.3333333333333333,0.0,0.2734374965089975
Qwen,BM25,0.39274336448249497,0.4285714285714285,0.0,0.35453278697305524,0.34590948938775024,0.3333333333333333,0.0,0.3345240608437747,0.3207098508787834,0.3333333333333333,0.0,0.2732491550095724
Qwen,Contr,0.4223714397627441,0.5,0.0,0.36295720567966855,0.36126189713146234,0.3333333333333333,0.0,0.33519665565924256,0.3394236024435244,0.4,0.0,0.27496491953197644
Qwen,GTR-L,0.40594818420905376,0.5,0.0,0.3525073169449795,0.3715847835413053,0.3333333333333333,0.0,0.343639263839251,0.3362654165622264,0.4,0.0,0.27095111420742707
Qwen,GTR-X,0.3907112081025124,0.4,0.0,0.34601587031717407,0.3625989625989626,0.3333333333333333,0.0,0.3437808217661711,0.3266745259072625,0.3333333333333333,0.0,0.271340815940686
Qwen,Inst,0.3945544923805793,0.4,0.0,0.35427388116270214,0.34514106144540924,0.2857142857142857,0.0,0.3349185438483781,0.3211539815456897,0.3333333333333333,0.0,0.2746743111660937
Qwen,-,0.3775758677932591,0.3333333333333333,0.0,0.35471113510919344,0.34756482908656816,0.2857142857142857,0.0,0.3429051315049706,0.3130303753772592,0.3333333333333333,0.0,0.2735348595251383
Qwen,Boyer-Moore,0.14608695652173914,0.0,0.0,0.34698376268782105,0.06686128364389234,0.0,0.0,0.18697445413128422,0.08503084355258268,0.0,0.0,0.21678276255413376
Majority Voting,Boyer-Moore,0.11304347826086956,0.0,0.0,0.31664593836579347,0.04946583850931677,0.0,0.0,0.1607980552829254,0.06491787439613526,0.0,0.0,0.19479816334258368
