QID,Label,Aliases
Q2558739,Kofi,Koffi|Koffy|Coffy
Q2569949,Viktar,Віктар
Q2583261,Wimmer,
Q2584852,Winston,Winston|Winston
Q2586616,Witt,
Q2600747,Yoram,Yoram|Yoram
Q2603924,Mehrzad,
Q2604429,Sveinn,Sveinn|Sveinn
Q2607492,Žimantas,
Q2621521,Chad,Chad|Chad
Q2631249,Antonino,Antonino|Antonino
Q2635602,Eustacjusz,
Q2639235,Albertas,Albertas|Albertas
Q2640979,Alenn,
Q2648522,Sharon,Sharon|Sharon
Q2674394,Deirdre,Deirdre|Deirdre
Q2677387,Dovilė,
Q2677659,Dren,
Q2698865,Alf,Alf|Alf
Q2698998,Gerður,Gerður
Q2755455,Lech,Lech|Lech
Q2775739,Mahmud,Mahmoud|Maḥmūd|Mahmood
Q2778125,Alfhild,Alfhild|Alfhild
Q2794766,Pranė,
Q2798676,Jurrian,
Q2823902,Adalgisa,
Q2827711,Ahou,
Q2827747,Ai,
Q2829095,Akli,
Q2840778,Ama,Ama|Ama
Q2841059,Amandine,Amandine|Amandine
Q2857956,Aodh,Aodh|Aodh|Aodhnait|Aodhamair
Q2869000,Athanaël,
Q2871895,Aurielle,Aurielle|Aurielle
Q2874494,Avraham,Avraham|Avraham
Q2874888,Ayiana,
Q2875283,Azza,
Q2879270,Bahia,
Q2897866,Louis,Louis|Louis
Q2918456,Abe,Abe|Abe
Q2923176,Božo,
Q2928263,Bunta,
Q2938300,Milou,
Q2964944,Christelle,Christelle|Christelle
Q3002487,Crescentius,
Q3036289,Donia,
Q3054070,Eneko,Eneko|Eneko
Q3054506,Enola,Enola|Enola
Q3056634,Erina,
Q3061143,Euthyme,
Q3090424,Phineas,Phineas|Phineas
Q3143564,Hyacinthe,Hyacinthe|Hyacinthe
Q3165397,Jean-François,
Q3169938,Jean-Robert,Jean-Robert|Jean-Robert
Q3194472,Kazuki,
Q3197419,Kirsty,Kirsty|Kirsty
Q3216952,Lancelot,Lancelot|Lancelot
Q3260107,Lou,Lou|Lou
Q3266061,Liduina,Ludwina
Q3270593,Léocadie,
Q3332929,Mélina,
Q3337407,Naïa,
Q3341711,Nikolett,Nikolett|Nikolett
Q3354118,Arna,Arna|Arna
Q3356266,Þorri,
Q3365580,Alicja,Alicja|Alicja
Q3373079,Clarence,Clarence|Clarence
Q3382772,Pierre-Alexandre,Pierre-Alexandre|Pierre-Alexandre
Q3382976,Pierre-Emmanuel,
Q3416209,Rachida,Rachida|Rachida
Q3433340,Reidun,Reidun|Reidun
Q3434834,Najma,
Q3443832,Aya,Aya|Aya
Q3447666,Leni,Leni|Leni
Q3454080,Ryōichi,Ryouichi|Ryoichi
Q3472263,Asa,Asa|Asa
Q3480735,Bjarnar,Bjarnar|Bjarnar
Q3480781,Brynjar,Brynjar|Brynjar
Q3481344,Ingunn,Ingunn|Ingunn
Q3481937,Þorfinnur,
Q3482031,Dagfríður,
Q3487834,Jasna,Jasna|Jasna
Q3490935,Milada,Milada|Milada
Q3491758,Soumya,
Q3497808,Steeve,Steeve|Steeve
Q3501543,Stéphane,Stéphane|Stéphane
Q3509663,Drogosława,
Q3519203,Tetsu,Tetsu|Tetsu
Q3543756,Stanislava,Stanislava|Stanislava
Q3567941,Widad,
Q3572309,Yitzhak,Yitzhak|Yitzhak
Q3572651,Yoshihide,Yoshihide|Yoshihide
Q3573038,Ysaline,
Q3576229,Zsófi,
Q3579048,Diego,Diego|Diego
Q3593704,Özgü,
Q3603117,Habacuc,
Q3603316,Abbondanza,
Q3604446,Achiropita,
Q3604960,Adalgiso,
Q3605113,Addis,
Q3605189,Adelfo,
Q3605215,Adelmo,Adelmo|Adelmo
Q3606570,Agilulf,
Q3609080,Alderico,
Q3612844,Almudena,
Q3613727,Amaya,Amaya|Amaya
Q3613859,Ambrosia,
Q3620898,Appio,Appio|Appio
Q3622416,Argia,
Q3624783,Ascanio,Ascanio|Ascanio
Q3632501,Baccio,Baccio|Baccio
Q3633267,Balderico,
Q3635270,Barsimeo,
Q3636015,Basolo,
Q3636908,Baudino,
Q3636910,Baudolino,
Q3640116,Bino,Bino|Bino
Q3640963,Blitmondo,
Q3641571,Boezio,
Q3642016,Bonagiunta,
Q3643612,Brancaleone,
Q3644255,Brenno,Brenno
Q3660491,Caro,
Q3664058,Kelly,Kelly|Kelly
Q3667197,Cherie,Cherie|Cherie
Q3677254,Cino,Cino
Q3679132,Clarissa,Clarissa|Clarissa
Q3680505,Cleofa,
Q3687422,Consolata,
Q3697112,Creusa,
Q3713612,Donadio,
Q3720434,Egisto,Egisto|Egisto
Q3732023,Erminia,Erminia|Erminia
Q3732033,Erminio,Erminio|Erminio
Q3734153,Eudemo,
Q3734206,Eufrazja,
Q3740805,Faith,Faith|Faith
Q3742823,Firmus,
Q3745797,Fioravante,
Q3746002,Firmino,Firmino|Firmino
Q3747056,Folgore,
Q3759369,Gemino,
Q3759659,Genezjusz,
Q3760149,Gentile,Gentile|Gentile
Q3761561,Gezabele,
Q3761751,Ghigo,Ghigo
Q3763183,Gianlorenzo,
Q3763361,Gianmario,Gianmario|Gianmario
Q3765201,Giorgia,Giorgia|Giorgia
Q3783818,Hazel,Hazel|Hazel
Q3786847,Hoshi,
Q3787148,Gleb,Gleb|Gleb|Глеб
Q3791620,Icaro,
Q3796357,Ildefonso,Ildefonso|Ildefonso
Q3801415,Ione,
Q3805211,Jeb,Jeb|Jeb
Q3806430,Jamar,Jamar|Jamar
Q3826765,Lando,Lando|Lando
Q3826841,Lanfranco,Lanfranco|Lanfranco
Q3827960,Lauro,Lauro|Lauro
Q3831166,Letterio,
Q3836844,Lorenza,Lorenza|Lorenza
Q3838785,Lucina,Lucina|Lucina
Q3841003,Lykke,
Q3841109,Ligia,
Q3841942,Macarena,
Q3843156,Maggiorino,
Q3844130,Mamert,
Q3844466,Manetto,
Q3850210,Martinian,
Q3852960,Mauronto,
Q3854604,Menas,Menas|Menas
Q3855070,Mercuriale,
Q3859417,Mitchell,Mitchell|Mitchell
Q3870193,Naoko,Naoko|Naoko
Q3874602,Nemo,Nemo|Nemo
Q3874620,Nemorino,
Q3877029,Nilva,
Q3880540,Oberto,Oberto|Oberto
Q3880741,Oceano,
Q3882102,Humbelina,
Q3882697,Onesiforo,
Q3885793,Oricolo,
Q3887706,Ovidio,
Q3901842,Rihab,
Q3908495,Porfiriusz,
Q3909563,Potito,
Q3925294,Publius,Publius|Publius
Q3932159,Regolo,
Q3940070,Rogelio,Rogelio|Rogelio
Q3952345,Scilla,
Q3961072,Symmachus,
Q3961431,Sincero,
Q3965191,Sotero,Sotero|Sotero
Q3972843,Stelio,Stelio|Stelio
Q3980892,Tano,Tano|Tano
Q3981184,Tarsilio,
Q3999604,Trofimena,
Q4001206,Tyra,
Q4003036,Uliano,
Q4006519,Ursycyn,Ursycyn|Ursycyn
Q4009465,Wenancjusz,
Q4009557,Venere,
Q4010125,Vernon,Vernon|Vernon
Q4023333,Yūko,ゆうこ|Yuuko|Yuko|Yuhko
Q4023595,Zacheusz,
Q4048327,Fructuoso,
Q4055193,ʾAbū al-Faḍl,Abulfazl|Abolfazl|Abu'l-Fazl|Abū al-Faḍl
Q4056988,Agnessa,
Q4058785,Aidar,Aydar|Ayźar
Q4062339,Alik,
Q4065134,Ангеляр,
