QID,Label,Aliases
Q761407,Garang,
Q761514,Rebelo,Rebello
Q762003,Mesa,
Q762634,Carbonneau,
Q764080,Deschamps,
Q764600,Favre,
Q766203,Hickox,
Q766519,Le Floch,
Q770891,Li,Li surname|surname Li
Q771958,Timmermans,
Q772029,Lipatov,Липатов
Q775828,Aurell,
Q780747,Paulsen,
Q780883,Austin,
Q783322,Kazakov,
Q785816,Messinger,
Q785821,Janes,
Q786779,Engelmann,
Q790280,Avcı,
Q790334,Avedon,
Q790638,Avery,
Q790941,Barton,
Q791362,Avramović,
Q792582,Axmacher,
Q792850,Aycinena,
Q793256,Ayrer,
Q793292,Aysan,
Q793403,Ayik,
Q793599,Azarian,
Q793735,Azhari,
Q794526,Açıkgöz,
Q794687,Aćimović,
Q797217,Bendz,Bendtz|Benz
Q797425,Ba,Fulbe family name
Q797449,Baader,
Q797451,Baah,
Q797520,Baazius,
Q797588,Babashoff,Babashoff family name|Babashoff surname
Q797639,Babenko,
Q797878,Babych,
Q798120,Bachelet,
Q798591,Bacri,
Q799180,Badjie,
Q799725,Baehr,
Q799782,Baffoe,
Q800131,Bagryanov,
Q803693,Baek,Paek|Baik|Paik|白|Back|Pack|백
Q803727,Baierl,
Q803848,Baillot,
Q804126,Bajc,
Q804234,Bakalorz,
Q804264,Bakayoko,
Q804455,Bakker,
Q804467,Bakogianni,
Q804649,Balasingam,Balasingham
Q804650,Balashov,Балашов
Q804719,Balcázar,
Q804886,Zhao,趙|赵|Zhào|Chiu|Chao|Chheu|Ceu|Tio|Tie
Q804909,Zhang,張|张|Cheung|Chang|Teo|Cho|Tio|Tie|Chong|Tiu|Tchang
Q804910,Balestrieri,
Q804943,Wang,Wáng|Heng|Wong|Ong|王|Uang|Ouang
Q804970,Liu,劉|刘|Liú|Lao|Low|Lauv|Liew|Loo|Lowe|Liou|Yu|Lau
Q804988,Chen,Tân|Chén|Chan|Tan|Tran|Chin
Q805107,Ball,
Q805295,Ballmer,
Q805491,Baloh,
Q805546,Baltakis,
Q805905,Balčiūnaitė,
Q806812,Banko,
Q806825,Banks,
Q807041,Bao,
Q808007,Bardens,
Q808145,Bargetzi,
Q808374,Barmettler,
Q808994,Barry,
Q809264,Barth,
Q809435,Bartl,
Q809474,Bartol,
Q809483,Bartolini,
Q809576,Bartoň-Dobenín,
Q809680,Baryshnikov,Барышников
Q809785,Bazarov,Bazarova
Q809792,Bazhanov,Бажанов
Q809796,Bazhenov,
Q811038,Batty,
Q811054,Baturin,
Q811193,Baudyš,Baudys|Baudyš|Baudyš
Q811486,Baum,
Q811552,Baumgarten,Baumgarten|Baumgartenová
Q811561,Baumgartner,
Q811688,Baur,Baur
Q812126,Bayer,
Q812568,Baynes,
Q812604,Bayrhoffer,
Q812639,Bayülken,
Q812675,Bazlen,
Q812916,Beale,
Q813422,Beaumont,
Q813594,Becherer,
Q813701,Becker,Becker|Becker
Q813719,Beckh,
Q813731,Beckmann,
Q813823,Beddoe,
Q814067,Beer,
Q814079,Beerbaum,
Q814088,Beerbohm,Beerbohm
Q814099,Beermann,
Q814101,Beerli,
Q814399,Begun,
Q814532,Behncke,
Q814548,Bahram,Behraam|Behram
Q814559,Behrens,
Q814607,Bei,貝|贝|Pei|Bèii
Q814860,Beisel,Beisel family name|Beisel surname
Q815049,Bekrić,
Q815332,Bele,
Q815438,Belfrage,
Q815648,Bielawski,
Q816089,Belmont,
Q816729,Benckert,
Q816778,Bendig,
Q816792,Bendl,
Q816907,Benedik,
Q817244,Bengtson,
Q817365,Benjamin,
Q817785,Benke,
Q817787,Benkei,
Q817795,Benko,Benko family name|Benko surname
Q818223,Bentele,Bentele|Bentele
Q818673,Berasategui,
Q819509,Bergen,
Q819529,Bergendahl,
Q819880,Bergius,
Q820100,Bergquist,
Q820106,Bergqvist,
Q820270,Bergsten,
Q821902,Berlinghieri,
Q821945,Berlinsky,
Q823143,Bernatonis,
Q824669,Bernhard,
Q826460,Bernhart,
Q826636,Bernini,
Q826645,Bernius,
Q827140,Berry,
Q827808,Berther,
Q828275,Bertilsson,
Q828390,Bertolucci,
Q830216,Bessler,
Q831160,Betham,
Q832915,Tang,湯|汤|Tong|Tāng
Q832942,Bodnar,
Q837421,Yan,Giâm|Yim|Ngiâm|Ngiêm|Yen|Yán|嚴|严
Q839482,Xing,邢|Hsing|Xíng
Q842157,Wei,魏|Wèi|Wey|Ngai|Ngei|Ngui|Gūi|Ghui
Q842166,Peng,彭|Pang|Phang|Bành
Q845069,Yang,楊|杨|Yeung|Yeoh|Yeo|Eyu|Iyu|Io|Yiu|Yu|Yio|Yong|Jong|Yung|Young|Yeong|Yahng|Ieong|Yáng
Q845104,Huang,黃|黄|Vong|Wong|Ng|Oei|Wee|Hwang|Hoàng|Huỳnh|Huynh|Huáng
Q845135,Zhou,周|Zhōu|Chou|Chow|Ciu|Cow|Chiau|Chau|Chao|Jhoe|Jou|Joe|Chew
Q845163,Wu,Woo|吴|吳|Ng|Ngu|Ngo|Ngoo|Go|Goo|Gou|Ghou|Goh
Q845673,Shan,單|单|Sin
Q846855,Zhuo,Cheuk|Cho|卓|Zhuó
Q850191,Bettray,
Q851891,Bevis,Bevis|Bevis
Q852558,Bács,
Q854534,Bezzola,Bezzola|Bezzola
Q854652,Bešlagić,
Q854795,Hong,Houng|洪|홍
Q854889,Bhattarai,
Q855013,Bhonsle,Bhonsle
Q855179,Bi,畢|毕
Q855302,Bian,卞|Biàn
Q856300,Meng,孟|Mèng
Q856307,Shi,史
Q857485,Bienemann,
Q861752,Bilger,
Q861833,Bilius,
Q861858,Bilyaletdinov,Билялетдинов
Q862931,Billson,
Q863380,Bily,
Q863713,Binemeciyan,
Q863991,Binninger,
Q865625,Birkerts,
Q865822,Birol,
Q865841,Birrell,
Q865942,Biržiška,
Q866108,Bischof,
Q866374,Biskup,
Q866386,Bisky,
Q866696,Bissonette,
Q869739,Pang,庞|龐
Q870141,Gloor,
Q873789,Csizmadia,Csizmadia
Q874065,Csombor,
Q879134,Bitzer,
Q879505,Björk,
Q879515,Björling,
Q879779,Björnsson,
Q881727,Blarr,
Q883342,Blecher,
Q883870,Bleser,
Q884579,Bloch,Bloch|Bloch
Q884642,Blochmann,
Q884653,Block,Block
Q884944,Blom,Blom|Blom
Q884954,Blomdahl,
Q884974,Blomstrand,
Q885595,Blue,Blue
Q886147,Blum,
Q886256,Blumenkranz,
Q886296,Blumenthal,
Q889117,Bock,
Q890304,Boesch,
Q890320,Boetefeur,
Q890388,Bogataj,
Q890642,Bogomolov,
Q891107,Boit,
Q891195,Bojārs,
Q891256,Bolander,
Q892207,Bondar,Bondar|Bondar|Bondar|Бондар|Бондарь|Bondar'
Q892780,Bonnet,
Q892844,Bonomo,
Q892857,Bonsack,
Q893360,Borbély,
Q893368,Borcharding,
Q893835,Borja,
Q893914,Born,Born|Born
Q894005,Bornmüller,Bornmüller|Bornmüller
Q894183,Borschevsky,
Q894194,Borsig,
Q894352,Bosbach,
Q894491,Bosquier,
Q894608,Boström,
Q894708,Botha,
Q894980,Bouck,
Q895112,Boulter,
Q895291,Boutin,
Q896031,Boyraz,Boyraz|Boyraz
Q896400,Bemberg,
Q896521,Bracamontes,
Q896987,Bradley,
Q897164,Braendlin,Braendlin|Braendlin
Q897491,Braley,
Q897650,Brancato,
Q897716,Brand,
Q897887,Brandenburg,Brandenburg
Q898909,Brantner,
Q898965,Braren,
Q898997,Brase,
Q899041,Brash,
Q899413,Braspennincx,
Q900084,Brauer,Brauer
Q900516,Brauksiepe,
Q901242,Dajka,
Q903972,Brearley,
Q905144,Bregant,Bregant|Bregant|Bregant|Bregantová
Q905451,Brehmer,
Q906471,Martínez,
Q907350,Bremen,
Q908051,Howard,Howard
Q908629,Ross,
Q909095,Brennecke,
Q909257,Brenner,
Q911493,Shen,沈|Shum|Sung|Sum|Sam|Sim|Shim|Sheem|Tham|Shěn
Q912131,Bianchi,
Q912614,Küzmič,
Q914279,Foley,
Q914629,Margelov,Маргелов
Q917343,Brinckmann,
Q917462,Brink,
Q917501,Brinkman,
Q917502,Brinkmann,
Q919574,Álvarez,
Q919822,Hyde-White,
Q923342,Cruz,
Q923674,Brockenbrough,
Q923720,Brocker,
Q924032,Devereaux,
Q924953,Broeck,
Q928249,Kelly,
