QID,Label,Aliases
Q51200015,governor of Kagawa Prefecture,
Q51200133,governor of Kōchi Prefecture,
Q51207481,Governor of the Diyarbekir Vilayet,
Q51208995,speed skier,
Q51236772,Councillor of Paris,
Q51254307,Bey of Dulkadir,
Q51279809,Minister of Education and Culture,
Q51279997,First Lady of Mozambique,
Q51397277,tocaor,flamenco guitarist
Q51440703,executive vice president of the Multilateral Investment Guarantee Agency,
Q51518856,Beylerbey of Tripoli,
Q51578158,general director of Cultural Heritage of the Community of Madrid,
Q51624064,Minister of Agriculture and Rural Development,
Q51803102,CSIC Scientific Researcher,
Q51842213,councillor for San Pedro department,
Q51842214,councillor for Cordillera department,
Q51842216,councillor for Guairá department,
Q51842217,councillor for the department of Caaguazú,
Q51844540,President of SGAE,
Q51844772,shamisen player,
Q51885866,mayor of Kuriyama,
Q52083500,Bey of Karaman,
Q52220796,lord mayor of Cologne,Oberbürgermeister of Cologne|mayor of Cologne
Q52553554,hymnologist,
Q52671665,Member of the Senate of Senegal,
Q53218104,Dean of the Col·legi de Periodistes de Catalunya,
Q53479738,brewster,
Q53544327,deputy of the Honorable Congress of the State of Aguascalientes,
Q53547725,alderman of the Honorable City Council of Puebla,
Q53704154,croatian scientist,
Q53712049,Prefect of the Dicastery for the Clergy,
Q53754694,paleomagnetist,geomagnetist
Q53783773,Minister of Digital Policies and Public Administration,
Q53826213,Voivode of Lower Silesian Voivodeship,
Q53840037,Voivodes of Silesian Voivodeship,
Q53864933,state deputy of Maranhão,
Q53864935,state deputy of Amazonas,Member of the Amazonas Legislative Assembly
Q53935007,councillor of Belo Horizonte,
Q53935638,councillor of Campinas,
Q53996617,renæssance archaeologist,
Q54082491,Ex Officio Member in Islands District,
Q54084476,Ex Officio Member in Tuen Mun District,
Q54321671,Permanent Representative of Italy to NATO,Italian Permanent Representative to the North Atlantic Council
Q54650199,Chancellor of Justice,
Q54806313,Mayor of Gawler,
Q54846760,counselor of the Regional Council of the Metropolitan Region of Santiago,
Q54912714,marquis of Montferrat,
Q54932492,councillor in Meath County Council,
Q55087428,"Minister of the Treasury, Budget and Economic Planning",
Q55096606,Italian minister of Tourism,
Q55104588,professor of economics,professor - economics
Q55168012,intarsia cutter,wood inlayer|intarsia artist
Q55224870,servant,
Q55235315,co-editor,
Q55237129,Mayor of Desamparados,
Q55331964,tobacco grower,
Q55332262,mayor of Tampere,
Q55363053,Royal Governor of Panama,
Q55389920,aulete,
Q55502624,Monarch of the Kingdom of León,Queen of Leon|King of Leon
Q55553850,Consul General of France in Jerusalem,French consul in Jerusalem
Q55603231,Admiral of the Narrow Seas,
Q55607330,Chief of the Defence Force (Namibia),
Q55607332,Chief of the Defence Staff (Sierra Leone),
Q55611048,Establishment Secretary of Pakistan,
Q55612428,General Prosecutors of the Republic of Azerbaijan,List of Prosecutors General of Azerbaijan
Q55612863,Governor of Occidental Mindoro,
Q55622550,Mayor of Penang Island,
Q55623242,"Minister of Personnel, Public Grievances and Pensions",
Q55630465,Prime minister of Rwenzururu,
Q55633097,ShortCutz Amsterdam Film Festival jury members,ShortCutz Amsterdam Jury|ShortCutz Amsterdam Film Jury
Q55637423,warlock,
Q55640406,list of chairpersons of the SPÖ and SDAPÖ,
Q55641032,Mayor of Dodoma,
Q55641430,Petroleum Secretary of Pakistan,
Q55648312,Minister of Justice (Madagascar),
Q55652056,diamond dealer,
Q55670200,hose man,
Q55718051,Minister of Culture and the Arts,
Q55718069,minister Secretary General of Government of Chile,Government spokesperson of Chile
Q55754031,committee member,
Q55783826,Member of the 15th National Assembly of Pakistan,
Q55933546,President of the RSPB,President of the Royal Society for the Protection of Birds
Q56010419,member of Camden London Borough Council,
Q56010423,member of Waltham Forest London Borough Council,
Q56010438,member of Enfield London Borough Council,
Q56010443,member of Barnet London Borough Council,
Q56010462,member of Wolverhampton City Council,
Q56010474,member of Bradford City Council,
Q56039812,fire protection engineer,fire engineer|fire safety engineer
Q56060219,Chief Judge of the South Australian District Court,
Q56063865,Attorney General of Seychelles,
Q56064310,Attorney General of Guam,
Q56071331,Mayor of Gatineau,mayor of Gatineau
Q56072119,Master of the South Australian District Court,
Q56085676,leading researcher,
Q56098474,subprefect of Itaim Paulista/Vila Curuçá,
Q56098477,subprefect of Mooca,
Q56098604,subprefect of Penha,
Q56098607,subprefect of Itaquera,
Q56098613,subprefect of Cidade Tiradentes,
Q56147141,<people in the arts and related occupations>,
Q56164406,Councillor-President of the Chamberí District,
Q56191756,Councillor-President of the Arganzuela District,
Q56235896,Member of the House of Assembly of Anguilla,
Q56241598,Kyrenia District Officer,
Q56249714,Minister of Finance of El Salvador,Ministro de Hacienda de El Salvador
Q56259975,gregorianist,
Q56277178,Mayor of Tawa,
Q56285388,Member of the February 1388 Parliament,Member of the Merciless Parliament|February 1388 MP
Q56309292,Khan of Khiva,Khan of Khorezm
Q56349281,Amargar,āmārgar
Q56353934,electrotechnique technician,
Q56404221,holder of the procuration,procurist|proxy|authorised representative
Q56408607,visitator,
Q56435918,mayor of Tomakomai,
Q56435949,mayor of Tōbetsu,
